,Unnamed: 0,country-year,country,year,suicides_no,population,suicides/100k pop,year_gdp,gdp_per_capita,Lat,Lng
28,825,Germany2005,Germany,2005,10270,78851254,161.48999999999995,2860000000000.0,36300.0,51.165690999999995,10.451526
29,856,Greece2005,Greece,2005,400,10582816,46.53,248000000000.0,23400.0,39.074208,21.824312
30,881,Grenada2005,Grenada,2005,6,93685,160.82000000000005,695000000.0,7422.0,12.1165,-61.67899999999999
31,912,Guatemala2005,Guatemala,2005,238,11104906,32.61,27200000000.0,2450.0,15.783470999999999,-90.230759
32,939,Guyana2005,Guyana,2005,169,667709,333.9600000000001,825000000.0,1235.0,4.860416000000001,-58.93018000000001
33,962,Hungary2005,Hungary,2005,2619,9608943,352.00999999999993,113000000000.0,11800.0,47.162494,19.5033041
34,994,Iceland2005,Iceland,2005,33,274929,115.0,16700000000.0,60712.0,64.96305100000001,-19.020835
35,1026,Ireland2005,Ireland,2005,451,3833357,121.11,212000000000.0,55200.0,53.1423672,-7.692053599999999
36,1056,Israel2005,Israel,2005,425,6220861,102.91,142000000000.0,22900.0,31.046051000000002,34.851612
37,1087,Italy2005,Italy,2005,3742,55244690,82.58999999999997,1850000000000.0,33500.0,41.87194,12.56738
38,1110,Jamaica2005,Jamaica,2005,51,2487169,26.169999999999995,11200000000.0,4505.0,18.109581,-77.297508
39,1135,Japan2005,Japan,2005,30369,120657507,266.89,4760000000000.0,39400.0,36.204824,138.252924
40,1161,Kazakhstan2005,Kazakhstan,2005,3903,13947770,357.80000000000007,57100000000.0,4096.0,48.019573,66.923684
41,1198,Kuwait2005,Kuwait,2005,52,2062968,18.18,80800000000.0,39166.0,29.311659999999996,47.481766
42,1223,Kyrgyzstan2005,Kyrgyzstan,2005,470,4614533,135.48000000000002,2460000000.0,533.0,41.20438,74.766098
43,1244,Latvia2005,Latvia,2005,564,2137831,312.06,16900000000.0,7916.0,56.879635,24.603189
44,1265,Lithuania2005,Lithuania,2005,1319,3174728,485.79,26100000000.0,8229.0,55.169438,23.881275
45,1297,Luxembourg2005,Luxembourg,2005,49,437338,159.07000000000005,37300000000.0,85397.0,49.815273,6.1295829999999984
46,1314,Maldives2005,Maldives,2005,1,288936,2.75,1160000000.0,4026.0,3.202778,73.22068
47,1339,Malta2005,Malta,2005,19,384111,67.94,6390000000.0,16648.0,35.937496,14.375416
48,1370,Mauritius2005,Mauritius,2005,102,1113942,102.51,6280000000.0,5641.0,-20.348404000000002,57.55215200000001
49,1402,Mexico2005,Mexico,2005,4274,96730008,62.22000000000001,877000000000.0,9070.0,23.634501,-102.552784
50,1419,Montenegro2005,Montenegro,2005,118,583232,274.4799999999999,2260000000.0,3870.0,42.708678000000006,19.37439
51,1444,Netherlands2005,Netherlands,2005,1574,15320595,113.28,679000000000.0,44300.0,52.132633,5.2912659999999985
52,1476,New Zealand2005,New Zealand,2005,514,3849280,157.93000000000004,115000000000.0,29800.0,-40.900557,174.88597099999998
53,1510,Norway2005,Norway,2005,533,4335092,142.09,309000000000.0,71200.0,60.47202399999999,8.468945999999999
54,1538,Panama2005,Panama,2005,172,2977595,77.80999999999997,16400000000.0,5499.0,8.537981,-80.782127
55,1566,Paraguay2005,Paraguay,2005,239,5126457,62.81,8730000000.0,1704.0,-23.442503,-58.44383199999999
56,1604,Poland2005,Poland,2005,6045,36371365,186.04,306000000000.0,8420.0,51.919438,19.145135999999997
57,1662,Puerto Rico2005,Puerto Rico,2005,289,3504599,105.11,83900000000.0,23944.0,18.220833,-66.590149
58,1676,Qatar2005,Qatar,2005,17,796618,18.8,44500000000.0,55899.0,25.354826,51.183884
59,1708,Republic of Korea2005,Republic of Korea,2005,12011,46151884,479.04,898000000000.0,19500.0,35.907757000000004,127.766922
60,1735,Romania2005,Romania,2005,2603,20569960,146.01,99700000000.0,4847.0,45.943160999999996,24.96676
61,1763,Russian Federation2005,Russian Federation,2005,45802,136162191,420.3399999999999,764000000000.0,5610.0,61.52401,105.31875600000001
62,1796,Saint Lucia2005,Saint Lucia,2005,4,151169,24.82,951000000.0,6292.0,13.909444,-60.97889300000001
63,1819,Saint Vincent and Grenadines2005,Saint Vincent and Grenadines,2005,8,99118,72.11,551000000.0,5556.0,12.984305,-61.287228000000006
64,1832,San Marino2005,San Marino,2005,1,28264,34.01,1960000000.0,69301.0,43.94236,12.457777
65,1840,Serbia2005,Serbia,2005,1437,7058982,286.31999999999994,26300000000.0,3719.0,44.016521000000004,21.005859
66,1858,Seychelles2005,Seychelles,2005,5,80900,71.5,919000000.0,11361.0,-4.679574,55.491977
67,1889,Singapore2005,Singapore,2005,359,3342400,180.33,127000000000.0,38100.0,1.352083,103.819836
68,1913,Slovakia2005,Slovakia,2005,679,5126946,165.37,62700000000.0,12229.0,48.669026,19.699023999999998
69,1932,Slovenia2005,Slovenia,2005,503,1911817,337.41,36300000000.0,19012.0,46.151241,14.995463
70,1952,South Africa2005,South Africa,2005,458,43566107,15.29,258000000000.0,5910.0,-30.559482,22.937506
71,1983,Spain2005,Spain,2005,3399,41195479,107.66,1160000000000.0,28100.0,40.46366700000001,-3.7492199999999998
72,2023,Suriname2005,Suriname,2005,72,447445,211.17,1790000000.0,4009.0,3.9193050000000005,-56.02778299999999
73,2051,Sweden2005,Sweden,2005,1219,8538624,164.61999999999995,389000000000.0,45600.0,60.12816100000001,18.643501
74,2073,Switzerland2005,Switzerland,2005,1299,7071991,246.19,409000000000.0,57800.0,46.818188,8.227511999999999
75,2100,Thailand2005,Thailand,2005,3937,61182665,77.99,189000000000.0,3090.0,15.870032,100.992541
76,2132,Trinidad and Tobago2005,Trinidad and Tobago,2005,136,1205471,144.14,16000000000.0,13258.0,10.691803,-61.222503
77,2164,Turkmenistan2005,Turkmenistan,2005,468,4252530,134.19000000000003,8100000000.0,1906.0,38.969719,59.556278000000006
78,2193,Ukraine2005,Ukraine,2005,10621,44939270,297.18,86100000000.0,1917.0,48.379433,31.1655799
79,2203,United Arab Emirates2005,United Arab Emirates,2005,96,4280433,16.05,181000000000.0,42200.0,23.424076,53.847818000000004
80,2229,United Kingdom2005,United Kingdom,2005,4047,56809024,79.15999999999998,2520000000000.0,44400.0,55.378051,-3.435973
81,2260,United States2005,United States,2005,32629,276106680,146.68,13100000000000.0,47400.0,37.09024,-95.712891
82,2289,Uruguay2005,Uruguay,2005,498,3070178,241.31000000000003,17400000000.0,5655.0,-32.522779,-55.765834999999996
83,2314,Uzbekistan2005,Uzbekistan,2005,1221,23600347,67.80999999999999,14300000000.0,606.0,41.377491,64.585262
