,country,year,suicides/100k pop,year_gdp,gdp_per_capita ($),Lat,Lng
86,Spain,2015,3509.0600000000013,180000000000,"$5,009.00 ",40.46366700000001,-3.74922
87,Sri Lanka,2006,4658.959999999998,5980000000,$431.00 ,7.873053999999999,80.77179699999999
88,Suriname,2014,7162.319999999997,873000000,"$2,706.00 ",3.919305,-56.027783
89,Sweden,2016,5247.719999999996,180000000000,"$22,813.00 ",60.12816100000001,18.643501
90,Switzerland,2015,4794.070000000002,343000000000,"$51,774.00 ",46.818188,8.227511999999999
91,Thailand,2016,2362.67,38900000000,$840.00 ,15.870032,100.992541
92,Trinidad and Tobago,2011,4479.509999999996,7380000000,"$7,317.00 ",10.691803,-61.222503
93,Turkey,2015,199.17000000000004,645000000000,"$9,773.00 ",38.963745,35.243322
94,Turkmenistan,2015,2994.730000000001,2330000000,$815.00 ,38.969719,59.556278
95,Ukraine,2015,8931.659999999993,64100000000,"$1,353.00 ",48.379433,31.1655799
96,United Arab Emirates,2010,94.88999999999997,181000000000,"$42,196.00 ",23.424076,53.847818
97,United Kingdom,2015,2790.919999999999,489000000000,"$9,231.00 ",55.378051,-3.435973
98,United States,2015,5140.970000000001,4350000000000,"$19,693.00 ",37.09024,-95.712891
99,Uruguay,2015,6538.96,4730000000,"$1,729.00 ",-32.522779,-55.765835
100,Uzbekistan,2014,2138.1700000000005,13400000000,$778.00 ,41.377491,64.585262
