country-year,country,year,suicides_no,population,suicides/100k pop,year_gdp,gdp_per_capita
Belize1990,Belize,1990,3,158000,29.7,413000000.0,2614.0
Belize1991,Belize,1991,2,162200,23.93,445000000.0,2742.0
Belize1993,Belize,1993,1,170800,6.49,560000000.0,3278.0
Belize1994,Belize,1994,8,170874,164.73000000000002,581000000.0,3399.0
Belize1995,Belize,1995,14,180500,143.96999999999997,620000000.0,3436.0
Belize1996,Belize,1996,8,180926,61.290000000000006,641000000.0,3545.0
Belize1997,Belize,1997,1,187650,5.77,654000000.0,3487.0
Belize1998,Belize,1998,12,195108,81.77999999999999,689000000.0,3531.0
Belize1999,Belize,1999,18,202699,83.71999999999998,733000000.0,3615.0
Belize2000,Belize,2000,18,210109,160.80000000000004,832000000.0,3960.0
Belize2001,Belize,2001,19,217279,151.7,872000000.0,4013.0
Belize2002,Belize,2002,14,224136,69.62,933000000.0,4161.0
Belize2003,Belize,2003,12,230890,59.00000000000001,990000000.0,4289.0
Belize2004,Belize,2004,20,237791,117.38,1060000000.0,4449.0
Belize2005,Belize,2005,12,245020,46.1,1110000000.0,4547.0
Belize2006,Belize,2006,11,252826,37.92000000000001,1220000000.0,4815.0
Belize2007,Belize,2007,8,260667,78.49,1290000000.0,4951.0
Belize2008,Belize,2008,11,268487,86.36000000000001,1370000000.0,5098.0
Belize2009,Belize,2009,15,276189,57.76,1340000000.0,4841.0
Belize2010,Belize,2010,15,283796,61.47999999999999,1400000000.0,4923.0
Belize2011,Belize,2011,33,291662,153.3,1490000000.0,5098.0
Belize2012,Belize,2012,18,298946,73.44999999999999,1570000000.0,5264.0
Belize2013,Belize,2013,17,305888,56.400000000000006,1610000000.0,5272.0
Belize2014,Belize,2014,24,312780,90.95,1700000000.0,5448.0
Belize2015,Belize,2015,26,319835,135.46,1780000000.0,5561.0
Bosnia and Herzegovina2011,Bosnia and Herzegovina,2011,5,3673312,1.31,18600000000.0,5076.0
Bosnia and Herzegovina2014,Bosnia and Herzegovina,2014,313,3654169,109.5,18600000000.0,5079.0
Brazil1985,Brazil,1985,4228,117478900,59.18,223000000000.0,1900.0
Brazil1986,Brazil,1986,4271,118776400,57.16000000000001,268000000000.0,2260.0
Brazil1987,Brazil,1987,4672,122822467,70.11999999999999,294000000000.0,2390.0
