,Unnamed: 0,country-year,country,year,suicides_no,population,suicides/100k pop,year_gdp,gdp_per_capita,Lat,Lng
1614,1614.0,Poland2015,Poland,2015.0,5420.0,36086575.0,166.99,477000000000.0,13200.0,51.919438,19.145136
1672,1672.0,Puerto Rico2015,Puerto Rico,2015.0,226.0,3469521.0,85.58000000000001,103000000000.0,29700.0,18.220833,-66.590149
1686,1686.0,Qatar2015,Qatar,2015.0,66.0,2354147.0,18.84,165000000000.0,69900.0,25.354826,51.183884
1718,1718.0,Republic of Korea2015,Republic of Korea,2015.0,13510.0,48671752.0,389.14,1380000000000.0,28400.0,35.907757,127.766922
1745,1745.0,Romania2015,Romania,2015.0,2228.0,18863927.0,133.54999999999998,178000000000.0,9430.0,45.943161,24.96676
1773,1773.0,Russian Federation2015,Russian Federation,2015.0,25432.0,137018943.0,236.92,1370000000000.0,9990.0,61.52401,105.318756
1829,1829.0,Saint Vincent and Grenadines2015,Saint Vincent and Grenadines,2015.0,3.0,100948.0,28.08,757000000.0,7496.0,12.984305,-61.287228
1850,1850.0,Serbia2015,Serbia,2015.0,1062.0,6766406.0,205.97,37200000000.0,5492.0,44.016521,21.005859
1868,1868.0,Seychelles2015,Seychelles,2015.0,7.0,85949.0,81.25,1380000000.0,16005.0,-4.679574,55.491977
1899,1899.0,Singapore2015,Singapore,2015.0,329.0,3719115.0,109.28999999999998,304000000000.0,81800.0,1.352083,103.819836
1942,1942.0,Slovenia2015,Slovenia,2015.0,422.0,1954632.0,264.81,43100000000.0,22036.0,46.151241,14.995463
1962,1962.0,South Africa2015,South Africa,2015.0,482.0,49627460.0,13.000000000000002,318000000000.0,6400.0,-30.559482,22.937506
1993,1993.0,Spain2015,Spain,2015.0,3604.0,44186528.0,97.38000000000002,1200000000000.0,27100.0,40.46366700000001,-3.74922
2061,2061.0,Sweden2015,Sweden,2015.0,1182.0,9114524.0,149.29999999999995,498000000000.0,54600.0,60.12816100000001,18.643501
2083,2083.0,Switzerland2015,Switzerland,2015.0,1073.0,7892502.0,164.66,679000000000.0,86100.0,46.818188,8.227511999999999
2110,2110.0,Thailand2015,Thailand,2015.0,4205.0,61261276.0,81.15000000000002,401000000000.0,6550.0,15.870032,100.992541
2145,2145.0,Turkey2015,Turkey,2015.0,1532.0,71880464.0,28.47,860000000000.0,12000.0,38.963745,35.243322
2174,2174.0,Turkmenistan2015,Turkmenistan,2015.0,133.0,4886514.0,28.48000000000001,35800000000.0,7326.0,38.969719,59.556278
2202,2202.0,Ukraine2015,Ukraine,2015.0,7574.0,40345446.0,244.72,91000000000.0,2256.0,48.379433,31.1655799
2239,2239.0,United Kingdom2015,United Kingdom,2015.0,4910.0,61082942.0,86.74,2890000000000.0,47200.0,55.378051,-3.435973
2270,2270.0,United States2015,United States,2015.0,44189.0,300078511.0,175.40999999999997,18100000000000.0,60400.0,37.09024,-95.712891
2298,2298.0,Uruguay2015,Uruguay,2015.0,630.0,3190795.0,270.02000000000004,53300000000.0,16696.0,-32.522779,-55.765835
0,,,,,,,,,,33.791638,-84.389488
1,,,,,,,,,,33.791638,-84.389488
2,,,,,,,,,,33.791638,-84.389488
3,,,,,,,,,,33.791638,-84.389488
4,,,,,,,,,,33.791638,-84.389488
5,,,,,,,,,,33.791638,-84.389488
6,,,,,,,,,,33.791638,-84.389488
7,,,,,,,,,,33.791638,-84.389488
8,,,,,,,,,,33.791638,-84.389488
9,,,,,,,,,,33.791638,-84.389488
10,,,,,,,,,,33.791638,-84.389488
11,,,,,,,,,,33.791638,-84.389488
12,,,,,,,,,,33.791638,-84.389488
13,,,,,,,,,,33.791638,-84.389488
14,,,,,,,,,,33.791638,-84.389488
15,,,,,,,,,,33.791638,-84.389488
16,,,,,,,,,,33.791638,-84.389488
17,,,,,,,,,,33.791638,-84.389488
18,,,,,,,,,,33.791638,-84.389488
19,,,,,,,,,,33.791638,-84.389488
20,,,,,,,,,,33.791638,-84.389488
21,,,,,,,,,,33.791638,-84.389488
22,,,,,,,,,,33.791638,-84.389488
23,,,,,,,,,,33.791638,-84.389488
24,,,,,,,,,,33.791638,-84.389488
25,,,,,,,,,,33.791638,-84.389488
26,,,,,,,,,,33.791638,-84.389488
27,,,,,,,,,,33.791638,-84.389488
28,,,,,,,,,,33.791638,-84.389488
29,,,,,,,,,,33.791638,-84.389488
30,,,,,,,,,,33.791638,-84.389488
31,,,,,,,,,,33.791638,-84.389488
32,,,,,,,,,,33.791638,-84.389488
33,,,,,,,,,,33.791638,-84.389488
34,,,,,,,,,,33.791638,-84.389488
35,,,,,,,,,,33.791638,-84.389488
36,,,,,,,,,,33.791638,-84.389488
37,,,,,,,,,,33.791638,-84.389488
38,,,,,,,,,,33.791638,-84.389488
39,,,,,,,,,,33.791638,-84.389488
40,,,,,,,,,,33.791638,-84.389488
41,,,,,,,,,,33.791638,-84.389488
42,,,,,,,,,,33.791638,-84.389488
43,,,,,,,,,,33.791638,-84.389488
44,,,,,,,,,,33.791638,-84.389488
45,,,,,,,,,,33.791638,-84.389488
46,,,,,,,,,,33.791638,-84.389488
47,,,,,,,,,,33.791638,-84.389488
49,,,,,,,,,,33.791638,-84.389488
50,,,,,,,,,,33.791638,-84.389488
51,,,,,,,,,,33.791638,-84.389488
52,,,,,,,,,,33.791638,-84.389488
53,,,,,,,,,,33.791638,-84.389488
54,,,,,,,,,,33.791638,-84.389488
55,,,,,,,,,,33.791638,-84.389488
56,,,,,,,,,,33.791638,-84.389488
57,,,,,,,,,,33.791638,-84.389488
58,,,,,,,,,,33.791638,-84.389488
59,,,,,,,,,,33.791638,-84.389488
60,,,,,,,,,,33.791638,-84.389488
61,,,,,,,,,,33.791638,-84.389488
